sample,lane,read,file,condition
20VY07239_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20VY07239/20VY07239_S7_L001_R1_001.fastq.gz,healthy
20VY07239_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20VY07239/20VY07239_S7_L001_R2_001.fastq.gz,healthy
20VY07239_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20VY07239/20VY07239_S7_L002_R1_001.fastq.gz,healthy
20VY07239_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20VY07239/20VY07239_S7_L002_R2_001.fastq.gz,healthy
20VY07239_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20VY07239/20VY07239_S7_L003_R1_001.fastq.gz,healthy
20VY07239_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20VY07239/20VY07239_S7_L003_R2_001.fastq.gz,healthy
20VY07239_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20VY07239/20VY07239_S7_L004_R1_001.fastq.gz,healthy
20VY07239_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20VY07239/20VY07239_S7_L004_R2_001.fastq.gz,healthy
20YO06470_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20YO06470/20YO06470_S5_L001_R1_001.fastq.gz,healthy
20YO06470_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20YO06470/20YO06470_S5_L001_R2_001.fastq.gz,healthy
20YO06470_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20YO06470/20YO06470_S5_L001_R1_001.fastq.gz,healthy
20YO06470_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20YO06470/20YO06470_S5_L001_R2_001.fastq.gz,healthy
20YO06470_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20YO06470/20YO06470_S5_L001_R1_001.fastq.gz,healthy
20YO06470_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20YO06470/20YO06470_S5_L001_R2_001.fastq.gz,healthy
20YO06470_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20YO06470/20YO06470_S5_L001_R1_001.fastq.gz,healthy
20YO06470_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20YO06470/20YO06470_S5_L001_R2_001.fastq.gz,healthy
